match_id,team_1,team_2,date,year,ground,toss_winner,toss_decision,match_winner,dl_used
476596,Bangladesh,New Zealand,2010-10-05,2010,Shere Bangla National Stadium,Bangladesh,bat,Bangladesh,y
476598,Bangladesh,New Zealand,2010-10-11,2010,Shere Bangla National Stadium,Bangladesh,field,Bangladesh,
476599,Bangladesh,New Zealand,2010-10-14,2010,Shere Bangla National Stadium,New Zealand,field,Bangladesh,
463143,South Africa,Zimbabwe,2010-10-15,2010,OUTsurance Oval,South Africa,bat,South Africa,
476600,Bangladesh,New Zealand,2010-10-17,2010,Shere Bangla National Stadium,Bangladesh,bat,Bangladesh,
463144,South Africa,Zimbabwe,2010-10-17,2010,Senwes Park,Zimbabwe,bat,South Africa,
464529,India,Australia,2010-10-20,2010,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,India,field,India,
463145,South Africa,Zimbabwe,2010-10-22,2010,Willowmoore Park,South Africa,bat,South Africa,
461566,Pakistan,South Africa,2010-10-29,2010,Sheikh Zayed Stadium,Pakistan,bat,South Africa,
461567,Pakistan,South Africa,2010-10-31,2010,Sheikh Zayed Stadium,South Africa,bat,Pakistan,
461568,Pakistan,South Africa,2010-11-02,2010,Dubai International Cricket Stadium,Pakistan,field,South Africa,
446957,Australia,Sri Lanka,2010-11-03,2010,Melbourne Cricket Ground,Australia,bat,Sri Lanka,
461569,Pakistan,South Africa,2010-11-05,2010,Dubai International Cricket Stadium,South Africa,bat,Pakistan,
446958,Australia,Sri Lanka,2010-11-05,2010,Sydney Cricket Ground,Sri Lanka,bat,Sri Lanka,y
446959,Australia,Sri Lanka,2010-11-07,2010,"Brisbane Cricket Ground, Woolloongabba",Sri Lanka,bat,Australia,
461570,Pakistan,South Africa,2010-11-08,2010,Dubai International Cricket Stadium,South Africa,bat,South Africa,
467883,India,New Zealand,2010-11-28,2010,Nehru Stadium,New Zealand,field,India,
486520,Bangladesh,Zimbabwe,2010-12-01,2010,Shere Bangla National Stadium,Bangladesh,field,Zimbabwe,
467884,India,New Zealand,2010-12-01,2010,Sawai Mansingh Stadium,India,field,India,
486522,Bangladesh,Zimbabwe,2010-12-03,2010,Shere Bangla National Stadium,Bangladesh,field,Bangladesh,
467885,India,New Zealand,2010-12-04,2010,Reliance Stadium,India,field,India,
486523,Bangladesh,Zimbabwe,2010-12-06,2010,Shere Bangla National Stadium,Zimbabwe,field,Bangladesh,
467886,India,New Zealand,2010-12-07,2010,M Chinnaswamy Stadium,India,field,India,
467887,India,New Zealand,2010-12-10,2010,"MA Chidambaram Stadium, Chepauk",New Zealand,bat,India,
486526,Bangladesh,Zimbabwe,2010-12-12,2010,Zahur Ahmed Chowdhury Stadium,Zimbabwe,bat,Bangladesh,
463150,South Africa,India,2011-01-12,2011,Kingsmead,South Africa,bat,South Africa,
463151,South Africa,India,2011-01-15,2011,New Wanderers Stadium,India,bat,India,
446962,Australia,England,2011-01-16,2011,Melbourne Cricket Ground,England,bat,Australia,
463152,South Africa,India,2011-01-18,2011,Newlands,South Africa,bat,India,
463153,South Africa,India,2011-01-21,2011,St George's Park,South Africa,bat,South Africa,y
446963,Australia,England,2011-01-21,2011,Bellerive Oval,England,field,Australia,
473923,New Zealand,Pakistan,2011-01-22,2011,Westpac Stadium,Pakistan,bat,New Zealand,
463154,South Africa,India,2011-01-23,2011,SuperSport Park,India,field,South Africa,y
446964,Australia,England,2011-01-23,2011,Sydney Cricket Ground,England,bat,Australia,
473924,New Zealand,Pakistan,2011-01-26,2011,Queenstown Events Centre,New Zealand,field,No Result,
446965,Australia,England,2011-01-26,2011,Adelaide Oval,England,bat,England,
473925,New Zealand,Pakistan,2011-01-29,2011,AMI Stadium,New Zealand,field,Pakistan,
446966,Australia,England,2011-01-30,2011,"Brisbane Cricket Ground, Woolloongabba",Australia,bat,Australia,
